Product|PricePerPound|Quant|PricePerThing
Shiitake Mushrooms|8.99|None|None
Cod Fish (Wild, USA)|8.49|None|None
Indian Eggplants|1.99|None|None
Sputnik Medium Roast Coffee|None|None|5.99
Cherries|3.49|None|None
Red Ancient Sweet Pepper|1.49|None|None
Boar's Head Pastrami|11.75|None|None
Collard Greens|0.79|None|None
Florida Avocados|None|None|1.79
Organic Dandelion, Bunch|None|None|2.49
Fingerling Potato|1.99|None|None
Chinese Eggplant|1.99|None|None
Chayotes|0.69|None|None
Organic Red Swisschard|None|None|1.49
Green Tomato|2.49|None|None
Cabot Mozzarella Shredded Low Moisture Part Skim|None|None|3.06
Organic Collard Greens|None|None|1.79
Sassy Cow Creamery Skim Milk|None|1/2 gallon|2.34
Habanero Peppers|5.99|None|None
Turano Pane Italian Bread|None|2 lb|4.90
Organic Romanesco|None|None|1.99
Boar's Head Picante Provolone|8.68|None|None
Boar's Head Yellow American Cheese|7.66|None|None
Boar's Head White Sharp Cheddar Cheese|8.68|None|None
Mixed Fruit Cup, Small|None|16 oz.|2.55
Organic Ground Beef Patties 85/15, Sommers Organic|9.25|2|None
Napa Cabbage|0.59|None|None
Boar's Head Rotisserie Chicken|9.70|None|None
Grated Parmesan|7.15|None|None
Shanghai Bok Choy|0.69|None|None
Boar's Head Crumbled Blue Cheese|7.15|None|None
Kikkoman Soy Sauce|None|5 ounces|2.99
Boar's Head Cheddar Cheese|8.68|None|None
Cosmic Crisp Apple|2.99|None|None
Turano Light Rye Bread|None|None|4.29
Oyster Mushrooms|7.49|None|None
Boar's Head Jalapeno Jack Cheese|8.68|None|None
Salsa|5.09|None|None
Boar's Head Lacy Swiss|8.68|None|None
Fried Extra Firm Tofu|None|10 oz.|2.34
Sassy Cow Creamery Chocolate Milk|None|1 pint|1.73
Organic Beef Strip Steaks|19.58|2|None
Boar's Head Pepper Salami|11.75|None|None
Organic Honey Crisp Apples|1.99|None|None
Creekstone 81/19 Ground Beef|None|None|7.99
Chuck Pot Roast|9.15|None|None
Dragon Fruit|None|None|4.99
Smoked Five Spice Tofu, 9oz|None|None|2.85
Pure Maple Syrup, Dodd's Sugar Shack|None|8 oz.|9.70
Button Mushroom|None|8 ounces|1.79
Medici Whole Wheat Sandwich Bread|None|None|5.10
Ruprecht Boneless Thin Pork Chops|10.28|None|None
Organic Valley Organic Grade A Medium Brown Eggs - 18 Pack|None|None|5.69
Larry's No Spring Chicken Sandwich|None|None|7.99
Organic Breakfast Blend Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Eiffel Tower Camembert Cheese (7oz)|None|None|5.99
Medici Demi Ciabatta|None|None|1.83
Hyde Park Hot Giardiniera|None|16 oz.|5.09
Bee Sweet Clementines Bags|None|3 pound|4.99
Farmer Focus Organic Free Range Chicken Drumsticks|5.59|None|None
Cabot Cheese, 5 Cheese Italian|None|None|3.06
Mesclun Spring Mix|6.49|None|None
Soul Vegan Macaroni & Cheese, Fresh Greens & BBQ Tofu|None|None|7.15
Boar's Head Muenster Cheese|8.68|None|None
Sassy Cow Creamery Half & Half|None|1 pint|2.03
Boar's Head 3Pepper Colby Jack Cheese|8.68|None|None
Honey Tangerines|1.29|None|None
Spinach, Loose|3.99|None|None
Green Plantains|0.99|None|None
Eggland's Best Organic|None|None|4.59
Organic Columbian Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Boar's Head Imported Gouda|9.70|None|None
PRE Grassfed Ground Beef 92% Lean/8% Fat|None|16 oz.|9.91
Radicchio|None|None|0.99
Roast Chicken Panini Sandwich Combo|None|None|10.49
Creekstone 86/14 Ground Beef|None|None|8.99
Boar's Head Low Salt Ham|9.71|None|None
Boar's Head Ham Capocollo|12.77|None|None
Medici Olive Ciabatta|None|None|4.90
Boar's Head Mozzarella Sliced Cheese|8.68|None|None
Bonelli Extra Virgin Olive Oil|None|None|12.49
Ugli Fruit|1.39|None|None
Tumeric Root|3.99|None|None
Watermelon Radish|1.29|None|None
Pepperoni|9.71|None|None
Shittake Mushrooms|9.09|None|None
Sassy Cow Creamery Skim Milk|None|1 quart|1.73
Blueberry Blossom Honey, Laney Honey|None|8 oz.|5.72
Ruprecht Boneless Pork Chops|9.87|None|None
La Bella San Marzano Passata Bottle Di Pomodoro|None|None|2.99
What's Your Beef Sandwich Combo|None|None|9.49
Bilinski Cajun Chicken Sausage|None|None|5.99
Sassy Cow Creamery Organic Reduced Fat 2% Milk|None|1/2 gallon|4.08
Star Thistle Honey, Laney Honey|None|8 oz.|5.72
Organic Love Buzz Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Soul Vegan Jerk Steak Wrap|None|None|5.41
Spicy Stir Fry Tofu Salad|None|None|6.12
PRE Grassfed Beef Ribeye Steak|None|None|15.33
Organic French Roast Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Boar's Head Yellow Sharp Cheddar Cheese|8.68|None|None
Quaker Oats 100% Whole Grain - 42oz|None|None|5.49
Yoyo's Pick Sandwich|None|None|7.99
Whole Spice Cinnamon Sticks|13.99|None|None
Frisee Lettuce|None|None|2.79
Clementines Bag|None|3 pounds|4.99
Boar's Head Domestic Prosciutto|12.77|None|None
Boar's Head French Gruyere|14.99|None|None
Buckwheat Honey, Laney Honey|None|16 oz.|13.38
Boar's Head Havarti|8.68|None|None
French Feta|7.99|None|None
Boar's Head Horseradish Cheddar|8.68|None|None
Sicilian Eggplants|1.59|None|None
Medici Semolina Ring|None|None|4.08
Beef Meatballs In Tomato Sauce|6.12|None|None
Sassy Cow Creamery Reduced Fat Milk|None|1 quart|1.73
PRE Grassfed Beef Filet Mignon Steak|None|None|13.28
Hyde Park Mild Giardiniera|None|16 oz.|5.09
Wildflower Honey, Laney Honey|None|8 ounces|5.72
Boar's Head Monterey Jack Cheese|8.68|None|None
Boar's Head White American Cheese|7.66|None|None
Medici Potato Bun|None|6|5.41
Sassy Cow Creamery 2% Reduced Fat Milk|None|1 pint|1.63
Sassy Cow Creamery Whole Milk Chocolate Milk|None|1 quart|2.03
Sassy Cow  Creamery Organic Whole Milk|None|1 gallon|7.15
Fresh Bee Pollen, Heather Valley Honey|None|8 oz.|9.20
Chickaboom Panini Sandwich Combo|None|None|10.49
Goathead's Gobbler Sandwich|None|None|7.99
Juici Apple|1.29|None|None
Spicy Tuna Salad|6.09|None|None
Organic French Roast Decaf Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Organic Espresso Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Equal Exchange Organic Ethiopian Coffee|12.26|None|None
Boar's Head Imported Prosciutto|16.86|None|None
Boar's Head Turkey Breast Honey Smoked|9.71|None|None
Boar's Head Mortadella|None|None|7.66
Zvjezda Suncokret Ulje (1lit)|None|None|4.99
Medici Wheat Baton|None|None|3.36
Sassy Cow Creamery Organic Whole Milk|None|1/2 gallon|4.08
Sassy Cow Creamery Whole Milk Chocolate Milk|None|1/2 gallon|2.34
Sassy Cow Creamery Organic Lowfat 1% Milk|None|1/2 gallon|4.08
Sassy Cow Creamery Organic 2% Reducated Fat Milk|None|1 gallon|7.15
Sassy Cow Creamery Organic Skim Milk|None|1 gallon|7.15
Sassy Cow Creamery 1% Lowfat Milk|None|1 gallon|7.15
Sassy Cow Creamery Skim Milk|None|1 gallon|4.08
PRE Grassfed Beef Top Sirloin Steak|None|None|9.19
Teriyaki Glazed Turkey Meatballs|6.12|None|None
Sesame Bagels, Pack of 6, Today's Temptations|None|None|4.08
Assorted Baklava, Nazareth Sweets, Small|None|None|5.10
Assorted Baklava, Nazareth Sweets, Large|None|None|9.19
Asian Smoke Tofu with Chili, Phoenix Bean|None|None|6.12
Orange Blossom Honey, Laney Honey|None|8 oz.|7.97
Boar's Head Fontina Cheese|8.68|None|None
Organic Dill Bunch|None|None|1.69
Endive|None|None|1.89
Roast Chicken Panini Sandwich|None|None|8.99
Smoke House Panini Sandwich Combo|None|None|10.49
Cuban Panini Sandwich|None|None|8.99
Cuban Panini Sandwich Combo|None|None|10.49
Anthony's A Ham sandwich|None|None|7.99
Larry's No Spring Chicken Sandwich Combo|None|None|9.49
Julie's The Favorite Sandwich|None|None|7.99
Pati's Ruben Sandwich|None|None|7.99
Pati's Ruben Sandwich Combo|None|None|9.49
Farmer Focus Organic Free Range Whole Chicken|4.29|None|None
Organic Salvadoran Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Organic Mind, Body and Soul Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Boar's Head Baby Swiss|8.68|None|None
Boar's Head Classic Lower Sodium Chicken|9.70|None|None
Grated Romano Cheese|7.15|None|None
Equal Exchange Organic Mexican Vienna Coffee|12.26|None|None
Organic Honduran Harvest Moon Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Organic Midnight Sun Equal Exchange Fair Trade Coffee Beans|12.26|None|None
Boar's Head Smoked Gruyere|8.68|None|None
Boar's Head Chipotle Gouda|8.68|None|None
Boar's Head EverRoast Chicken|9.70|None|None
Chile Guajillo|6.99|None|None
Boar's Head Hard Salami|9.71|None|None
Stem Leaf Mandarines|1.79|None|None
Cantaloupe|None|None|0.99
Orange Peppers|1.59|None|None
Red Peppers|1.59|1|None
Walnuts in Shell|3.49|None|None
Sugar Snap Peas|2.49|None|None
Rainbow Chard Organic|None|None|1.79
Pineapple|None|1|2.59
Chicory|None|None|1.99
Blueberries|None|6 ounces|2.79
Fresh Cut Cantaloupe|None|None|1.99
Medici Multigrain Demi Baguette|None|None|1.73
PRE Grassfed Ground Beef 85/15|None|16 oz.|9.19
Hyde Park Mild Pepper Spread|None|16 oz.|4.39
Zucchini Pound Cake , Today's Temptations|None|20 oz.|3.57
Village Batch Balsmaic Vinegar With Honey|None|None|7.97
Sauders Amish Eggs|None|18|2.29
Natural Wildflower Honeycomb,Laney Honey|None|8 oz.|18.39
Pure Beeswax, Laney Honey|None|2 oz.|3.77
Gerber's Amish Farm Fryer Wings|3.57|None|None
Ground Pork|None|None|4.08
Asian Pear|0.99|None|None
Lychee|6.99|None|None
Vine Ripe Tomato|2.49|None|None
Organic Romaine Lettuce|None|None|1.79
Chile Arbol|6.99|None|None
Rhubarb|5.49|None|None
Cipollini Onion|4.59|None|None
Baby White Potato|0.99|None|None
Organic Green Kale, Bunch|None|None|2.49
Bananas Baby|1.49|None|None
Chickaboom Panini Sandwich|None|None|8.99
Smoke House Panini Sandwich|None|None|8.99
Yoyo's Pick Sandwich Combo|None|None|9.49
Goathead's Gobbler Sandwich Combo|None|None|9.49
Luis's Torta Sandwich|None|None|7.99
Luis's Torta Sandwich Combo|None|None|9.49
Anthony's A Ham sandwich Combo|None|None|9.99
Our Veggie Delite Sandwich|None|None|7.99
Our Veggie Delite Sandwich Combo|None|None|9.49
Julie's The Favorite Sandwich Combo|None|None|9.49
Camille's Caprese Sandwich|None|None|7.99
Camille's Caprese Sandwich Combo|None|None|9.49
Chile Ancho|6.99|None|None
Canary Melon|None|None|3.99
Kohlrabi|None|None|2.49
Thai Eggplant|1.49|None|None
StrawberriesPint|None| pint|3.49
Organic Valencia Oranges|0.79|None|None
Midwest Juicery Beets by Midwest|None|None|6.49
Apple Jazz|1.99|None|None
Midwest Juicery All Greens Everything|None|None|6.49
Red Boston Lettuce|None|None|1.79
Creekstone 93/7 Ground Beef|None|None|9.99
Organic Portabella Mushroom Caps|None|6 ounces|3.79
Farmer Focus Party Wings|5.19|None|None
Bananas|0.59|None|None
Limes|0.99|None|None
Red Mango|None|None|0.59
Baby Bok Choy|1.29|None|None
Kiwi|None|None|0.33
Organic Loose Carrots|0.69|None|None
Tomatoes|1.39|None|None
Red Pear|None|None|0.69
Zucchini Squash|1.29|None|None
Leeks|0.99|None|None
Lemons|0.99|None|None
Seedless Red Grapes|1.99|None|None
Black Plums|1.79|None|None
Xochitl Corn Chips, Sea Salt, Mexican Style|None|16 ounces|5.09
Green Seedless Grapes|1.59|None|None
El Milagro Tortillas, Corn|None|12|0.51
Cauliflower|1.49|None|None
Silk Unsweetened Vanilla Almondmilk|None|64 ounces|4.69
Broccoli|0.99|None|None
Bunch Celery|None|None|0.99
Yellow Squash|1.69|None|None
Ruby Grapefruit|0.89|None|None
Chobani Lowfat Greek Yogurt with Strawberry Banana on the Bottom|None|5.3 ounces|1.01
Organic Bartlett Pears|1.59|None|None
Martinellis Gold Medal 100% Juice, Pure, Apple, Unfiltered|None|1.5 liters|7.15
Yellow Onions  Bags|None|3 pound|0.79
Granny Smith Apples|0.99|None|None
Honeycrisp Apples|None|None|0.69
RW Knudsen 100% Juice,  Cranberry Nectar|None|32 ounces|4.59
Bunched Spinach|None|None|0.99
Silk Original Almondmilk|None|64 ounces|4.69
White Turnip|0.99|None|None
Blood Oranges|0.99|None|None
Spice Supreme Red Pepper, Crushed|None|2 ounces|1.01
Organic Lemon|2.69|None|None
Original Bagel Bagels, Cinnamon Raisin|None|6|3.06
DiGiorno Pizza, Original Rising Crust, Three Meat|None|29.8 ounces|8.17
Earthbound Farm Organic Whole Green Beans|None|10 ounces|3.36
Green Okra|1.79|None|None
Basil|8.99|None|None
Baby Carrots|None|None|0.99
Green Cabbage|0.39|None|None
Taylor Organic Baby Arugula|None|5 ounces|3.06
Hikari Miso Soybean Paste|None|750 grams|8.69
Spinach Cello|None|10 ounces|2.49
Organic Granny Smith Apples|1.49|None|None
Red Plums|1.79|None|None
Chobani Non-Fat Greek Yogurt with Mango on the Bottom|None|5.3 ounces|1.01
Perdue Turkey, Ground|None|16 ounces|5.10
Todays Temptations Bread, California Sourdough|None|28 ounces|3.99
Tanimura & Antle Lettuce, Butter, Hydroponic|None|1|1.49
White Mushrooms|2.49|None|None
Organic Red Peppers|1.99|None|None
White Onions|0.69|None|None
Tofutti Better Than Cream Cheese Imitation Cream Cheese, Herbs & Chives|None|8 ounces|3.06
Brussels Sprouts|1.39|None|None
Scallions|None|None|0.89
Applegate Naturals Chicken Nuggets|None|8 ounces|7.15
Golden Kiwifruit|None|None|0.69
Brownberry Whole Grains Nutty Almond Bread|None|None|3.89
Taylor Organic Baby Spinach|None|5 ounces|3.06
Mr Q Cumber Cucumber Beverage, Sparkling|None|7 ounces|1.32
Nongshim Soup, Noodle, Shin Bowl, Gourmet Spicy|None|3.03 ounces|1.19
Oasis Baba Ghannouj|None|8 ounces|3.57
Original Bagel Bagels, Plain|None|6|3.06
Snack Factory Cinnamon Sugar Pretzel Crisps|None|7.2 ounces|3.06
Andrew & Everett Cheese, Mozzarella, Thin Sliced|None|7 ounces|4.49
Organic Gala Apples|1.29|None|None
Uptons Naturals Seitan, Chorizo, in Crumbles|None|8 ounces|3.98
Boars Head Bacon, Naturally Smoked, Extra Thick Cut|None|12 ounces|5.92
Driscolls Raspberries|None|6 ounces|3.99
Ice Mountain Distilled Water|None|1 gallon|2.05
Bonelli Olive Oil, Extra Virgin|None|17 ounces|6.49
Original Bagel Everything|None|6|3.06
Organic Bunch Celery|0.79|None|None
Barilla Marinara Sauce|None|None|3.06
Follow Your Heart Cheese Alternative, Dairy Free, Mozzarella Style|None|10|4.59
Lactaid Milk, Fat Free|None|1 quart|2.69
Puckered Pickle Barrel Select Deli Spears, Crunchy, Kosher|None|32 ounces|5.61
For You Cocktail Radishes|None|16 ounces|1.32
Pennsylvania Dutchman Mushrooms, Pre-Packed|None|16 ounces|3.09
Barilla Rigatoni, n.83|None|1 pound|2.03
Kale|None|None|0.99
CoolHaus Ice Cream, Awesome, Balsamic Fig & Mascarpone|None|1 pint|6.12
Dynasty Jasmine Rice|None|5 pounds|7.15
Blue Diamond Almond Breeze Almondmilk, Vanilla, Unsweetened|None|32 ounces|3.06
Earthbound Farm Organic Mango Chunks|None|10 ounces|5.61
Green Beans|1.79|None|None
Brownberry Whole Grains Healthy Multi-Grain Bread|None|24 ounces|3.89
Carnation Evaporated Milk|None|12 ounces|2.03
Barilla Ziti, No. 74|None|16 ounces|2.03
Ambrosia Apples|0.99|None|None
Low-Fat Chobani Greek Yogurt Blended with Key Lime|None|5.3 ounces|1.01
Bays English Muffins, Original|None|6|4.08
SunButter Natural Sunflower Butter|None|16 ounces|6.94
BelGioioso Ricotta con Latte, Whole Milk|None|16 ounces|3.88
Natures Path Flax Plus Organic Red Berry Crunch Cereal|None|10.6 ounces|5.61
Loose Carrots|0.69|None|None
Green Leaf Lettuce|None|None|0.99
San Pellegrino Sparkling Beverage, Pomegranate & Orange - 6 Pack|None|None|6.38
Dynasty Rice, Jasmine|None|32 ounces|3.06
Chobani Blended with Lemon & Cream Whole Milk Greek Yogurt|None|5.3 ounces|1.01
Red Cabbage|0.59|None|None
Muir Glen Organic Tomatoes, Diced, San Marzano Style, with Basil and Garlic|None|14.5 ounces|2.34
Stacy's Simply Naked Baked Pita Chips|None|7.33 ounces|3.47
Boar's Head Ham Tavern|9.71|None|None
Briannas Dressing, Special Request, Lively Lemon Tarragon|None|12 ounces|4.09
Tropical Grove Fruit Punch|None|33.8 ounces|1.42
Fresh Baby Bella Mushroom|None|8 ounces|2.49
Applegate Naturals Bacon, Uncured Sunday, Hickory Smoked|None|8 ounces|5.92
Marburger Farm Dairy Buttermilk, Gourmet|None|1 quart|2.55
Chobani Low Fat Greek Yogurt with Pineapple on the Bottom|None|5.3 ounces|1.01
Birds Eye C&W Sweet Corn, Petite|None|16 ounces|3.57
Barilla Rotini Pasta|None|1 pound|2.03
Affy Tapple Caramel Apple|None|None|1.01
Ito En Oi Ocha Unsweetened Bold Green Tea|None|16.9 ounces|2.24
Cedars Wraps, Sundried Tomato & Basil|None|10 ounces|3.06
Frontera Salsa, Double Roasted Tomato, Medium|None|16 ounces|4.08
Kerrygold 100% Natural Aged Cheddar Cheese|None|7 ounces|4.69
Italian Parsley|None|None|0.89
Cabot Cheese, Seriously Sharp Cheddar, Shredded|None|8 ounces|3.06
Siggi's Icelandic Style Cream-Skyr Strained Vanilla Whole-Milk Yogurt|None|4.4 ounces|1.83
Cremini Mushrooms|3.09|None|None
Annies Gluten Free Cinnamon Sugar Snicker Doodle Bunny Cookies|None|6.75 ounces|5.72
Gotham Greens Arugula|None|4.5 ounces|4.08
Siggi's Mixed Berries Strained Whole-Milk Yogurt|None|4.4 ounces|1.83
Huy Fong Chili Sauce, Hot, Sriracha|None|28 ounces|4.39
Taylor Organic Baby Spring Mix|None|None|3.06
Andrew & Everett Cheese, Thin Sliced Swiss|None|7 ounces|4.49
Phil's Fresh Eggs Grade A Large Cage Free|None|12|4.08
Babybel Semisoft Cheeses, Original, Mini|None|6|4.08
Eternal Water, Spring, Naturally Alkaline|None|1.5 liters|2.55
Supreme Choice Tilapia, Boneless, Fillets|None|16 ounces|4.59
Knorr Bouillon, Vegetable, Cubes|None|6|1.32
LACROIX Sparkling Water, Berry|None|None|5.82
Rice Select Rice, Arborio|None|32 ounces|7.15
Turano Sandwich Rolls, Gourmet|None|8|3.88
Lakewood Organic Fresh Pressed Pure Lemon Juice|None|12.5 ounces|5.10
Cabot Sour Cream|None|1 pound|2.03
Siggis Yogurt, Whole-Milk, Icelandic Style Cream-Skyr, Strained, Strawberry & Rhubarb|None|4.4 ounces|1.83
Supremo Chorizo, Pork, Original Picante|None|14 ounces|5.49
Amy's Low Fat No Chicken Noodle Soup|None|14.1 ounces|3.57
Tandoor Chef Lamb Vindaloo, with Turmeric-Infused Basmati Rice, Hot|None|9.5 ounces|6.43
Spice Supreme Celery Seed|None|3.5 ounces|1.01
Louisiana Fish Fry Products Blackened Seasoning, Cajun|None|2.5 ounces|3.06
Barilla Sauce, Spicy Marinara|None|24 ounces|3.06
Barilla Campanelle, No. 99|None|1 pound|2.03
RW Knudsen 100% Juice, No Sugar Added, Organic, Tomato|None|32 ounces|3.67
Greek Gods Yogurt, Greek Style, Traditional Plain|None|24 ounces|4.69
Roland Soba Noodles, Organic, Buckwheat|None|12.8 ounces|2.85
Amys Soup, Organic, Tuscan Bean & Rice|None|14.1 ounces|4.39
Alessi Vinegar, White Balsamic, Raspberry Blush|None|8.5 ounces|3.67
Barilla Spaghetti, Thick, No. 7|None|1 pound|2.03
Bobs Red Mill Gluten Free Cake Mix, Vanilla|None|19 ounces|3.88
Mae Ploy Chili Sauce, Sweet|None|12 ounces|1.93
La Preferida Spanish Rice|None|5.25 ounces|2.03
Yellow Peppers|1.59|None|None
Bonne Maman Preserves, Strawberry|None|13 ounces|5.10
Chobani Non-Fat Greek Yogurt with Blackberry on the Bottom|None|5.3 ounces|1.01
Xochitl Corn Chips, White, Sea Salt, Mexican Style|None|12 ounces|5.09
Phils Eggs, Cage Free, Large|None|12|3.67
Organic Green Bell Pepper|2.49|None|None
Muir Glen Organic Whole Peeled Tomatoes|None|28 ounces|3.57
Muir Glen Organic Pasta Sauce, Chunky Tomato & Herb|None|25.5 ounces|4.69
Joe Tea Half Lemon Tea & Half Lemonade|None|20 ounces|2.19
Simply Orange 100% Juice, Orange, Pulp Free|None|59 ounces|5.79
Brownberry Whole Grains Bread, 12 Grain|None|24 ounces|3.88
Brownberry Bread, Premium Italian|None|20 ounces|2.59
Honeydew Melon|None|1|1.49
Fage Total Nonfat Strained Greek Yogurt|None|6 ounces|1.73
Silk Almondmilk, Original, Unsweetened|None|0.5 gallons|4.69
Sara Lee Bread, Honey Wheat|None|20 ounces|3.06
Original Bagel Bagels, Egg|None|6|3.06
Rambutan|4.99|None|None
De Cecco Angel Hair Pasta, No. 9|None|1 pound|1.99
Black Radish|1.79|None|None
Earthbound Farm Organic Green Peas|None|10 ounces|3.06
Organic Mustard Greens|None|None|1.79
Earthbound Farm Organic Blueberries|None|10 ounces|5.10
Haagen Dazs Ice Cream, White Chocolate Raspberry Truffle|None|14 ounces|5.10
BelGioioso Cheese, Fresh Mozzarella|None|8 ounces|3.67
La Preferida Organic Garbanzos Chick Peas|None|15 ounces|1.83
Purple Potato|1.79|None|None
Chobani Non-Fat Vanilla Blended Greek Yogurt|None|5.3 ounces|1.01
Thyme|13.99|None|None
CABOT Sour Cream|None|None|1.22
