recipe_num|title|url|image|servings|prep_time|cook_time|total_time|n_reviews|avg_review
172704|Chinese Pepper Steak|https://www.allrecipes.com/recipe/172704/chinese-pepper-steak/|https://images.media-allrecipes.com/userphotos/560x315/7127114.jpg|4|15|15|30|676|4.59
241601|Sesame Chicken for Slow Cooker|https://www.allrecipes.com/recipe/241601/sesame-chicken-for-slow-cooker/|https://images.media-allrecipes.com/userphotos/2320248.jpg|4|None|None|None|371|3.8517520215633425
132127|Quick Bruschetta Chicken Bake|https://www.allrecipes.com/recipe/132127/quick-bruschetta-chicken-bake/|https://images.media-allrecipes.com/userphotos/254365.jpg|6|20|30|50|623|4.064205457463885
15225|Lasagna Alfredo Roll Ups|https://www.allrecipes.com/recipe/15225/lasagna-alfredo-roll-ups/|https://images.media-allrecipes.com/userphotos/560x315/700656.jpg|8|None|None|None|399|4.48
83853|Butterscotch Oatmeal|https://www.allrecipes.com/recipe/83853/butterscotch-oatmeal/|https://images.media-allrecipes.com/userphotos/560x315/1025147.jpg|3|5|10|15|484|4.5
221286|Traditional Mexican Guacamole|https://www.allrecipes.com/recipe/221286/traditional-mexican-guacamole/|https://images.media-allrecipes.com/userphotos/560x315/848092.jpg|4|10|None|10|115|4.66
22694|Bacon and Date Appetizer|https://www.allrecipes.com/recipe/22694/bacon-and-date-appetizer/|https://images.media-allrecipes.com/userphotos/695887.jpg|6|30|5|35|300|4.636666666666667
175989|Artichoke Stuffed Mushrooms|https://www.allrecipes.com/recipe/175989/artichoke-stuffed-mushrooms/|https://images.media-allrecipes.com/userphotos/560x315/550260.jpg|12|20|25|45|184|4.61
245429|No Bake Energy Balls|https://www.allrecipes.com/recipe/245429/no-bake-energy-balls/|https://images.media-allrecipes.com/userphotos/560x315/3297624.jpg|20|10|None|40|128|4.82
216756|Baked Ham and Cheese Party Sandwiches|https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/|https://images.media-allrecipes.com/userphotos/4502246.jpg|24|15|20|35|745|4.801342281879195
15184|Mouth-Watering Stuffed Mushrooms|https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/|https://images.media-allrecipes.com/userphotos/560x315/414837.jpg|12|25|20|45|3042|4.62
203800|Pico de Gallo|https://www.allrecipes.com/recipe/203800/pico-de-gallo/|https://images.media-allrecipes.com/userphotos/560x315/282674.jpg|12|20|None|200|343|4.7
176957|Baked Kale Chips|https://www.allrecipes.com/recipe/176957/baked-kale-chips/|https://images.media-allrecipes.com/userphotos/250x250/490832.jpg|6|10|10|20|1910|4.48
239969|No-Bake Energy Bites|https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/|https://images.media-allrecipes.com/userphotos/560x315/4540780.jpg|24|15|None|75|449|4.8
24909|Tuna Ball|https://www.allrecipes.com/recipe/24909/tuna-ball/|https://images.media-allrecipes.com/userphotos/560x315/703387.jpg|20|15|None|15|57|4.52
235095|Easy Rumaki with Pineapple|https://www.allrecipes.com/recipe/235095/easy-rumaki-with-pineapple/|https://images.media-allrecipes.com/userphotos/1291543.jpg|24|20|20|40|35|4.485714285714286
69225|Strawberry Bruschetta|https://www.allrecipes.com/recipe/69225/strawberry-bruschetta/|https://images.media-allrecipes.com/userphotos/1281203.jpg|12|10|5|15|44|4.545454545454546
223012|Amazing No Cook Spinach Artichoke Dip|https://www.allrecipes.com/recipe/223012/amazing-no-cook-spinach-artichoke-dip/|https://images.media-allrecipes.com/userphotos/560x315/1060887.jpg|32|20|None|20|18|4.52
16679|Garlicky Appetizer Shrimp Scampi|https://www.allrecipes.com/recipe/16679/garlicky-appetizer-shrimp-scampi/|https://images.media-allrecipes.com/userphotos/250x250/945189.jpg|6|15|6|21|134|4.65
229454|Artichoke Hearts Gratin|https://www.allrecipes.com/recipe/229454/artichoke-hearts-gratin/|https://images.media-allrecipes.com/userphotos/250x250/946954.jpg|4|10|10|35|55|4.04
14231|Guacamole|https://www.allrecipes.com/recipe/14231/guacamole/|https://images.media-allrecipes.com/userphotos/560x315/4521556.jpg|4|10|None|10|4646|4.81
68461|Buffalo Chicken Dip|https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/|https://images.media-allrecipes.com/userphotos/3095600.jpg|20|5|40|45|4900|4.708775510204082
26692|Annie's Fruit Salsa and Cinnamon Chips|https://www.allrecipes.com/recipe/26692/annies-fruit-salsa-and-cinnamon-chips/|https://images.media-allrecipes.com/userphotos/560x315/4536841.jpg|10|15|10|45|3286|4.78
139012|Jalapeno Popper Spread|https://www.allrecipes.com/recipe/139012/jalapeno-popper-spread/|https://images.media-allrecipes.com/userphotos/250x250/265544.jpg|32|10|3|13|2835|4.75
24087|Restaurant-Style Buffalo Chicken Wings|https://www.allrecipes.com/recipe/24087/restaurant-style-buffalo-chicken-wings/|https://images.media-allrecipes.com/userphotos/445293.jpg|5|15|15|120|3425|4.778394160583941
20669|Double Tomato Bruschetta|https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/|https://images.media-allrecipes.com/userphotos/560x315/4542188.jpg|12|15|7|35|2055|4.82
26819|Hot Artichoke and Spinach Dip II|https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/|https://images.media-allrecipes.com/userphotos/560x315/3391875.jpg|12|15|25|40|2148|4.72
33474|Artichoke & Spinach Dip Restaurant Style|https://www.allrecipes.com/recipe/33474/artichoke-spinach-dip-restaurant-style/|https://images.media-allrecipes.com/userphotos/560x315/2073139.jpg|12|15|30|75|2095|4.67
19673|Seven Layer Taco Dip|https://www.allrecipes.com/recipe/19673/seven-layer-taco-dip/|https://images.media-allrecipes.com/userphotos/560x315/246196.jpg|56|30|None|30|1901|4.74
71722|Asian Lettuce Wraps|https://www.allrecipes.com/recipe/71722/asian-lettuce-wraps/|https://images.media-allrecipes.com/userphotos/560x315/2630776.jpg|4|20|15|35|1815|4.64
14939|Brown Sugar Smokies|https://www.allrecipes.com/recipe/14939/brown-sugar-smokies/|https://images.media-allrecipes.com/userphotos/580591.jpg|12|10|20|30|2547|4.763643502159403
13838|Sugar Coated Pecans|https://www.allrecipes.com/recipe/13838/sugar-coated-pecans/|https://images.media-allrecipes.com/userphotos/560x315/403891.jpg|12|None|None|None|1692|4.91
14830|Hummus III|https://www.allrecipes.com/recipe/14830/hummus-iii/|https://images.media-allrecipes.com/userphotos/560x315/4477057.jpg|16|10|None|10|1594|4.55
17753|Coconut Shrimp I|https://www.allrecipes.com/recipe/17753/coconut-shrimp-i/|https://images.media-allrecipes.com/userphotos/560x315/3494547.jpg|6|10|20|60|1455|4.79
15206|Cocktail Meatballs|https://www.allrecipes.com/recipe/15206/cocktail-meatballs/|https://images.media-allrecipes.com/userphotos/560x315/1066728.jpg|10|20|85|105|1395|4.47
81298|Playgroup Granola Bars|https://www.allrecipes.com/recipe/81298/playgroup-granola-bars/|https://images.media-allrecipes.com/userphotos/560x315/1131887.jpg|24|15|35|50|1440|4.54
69919|Bacon Wrapped Smokies|https://www.allrecipes.com/recipe/69919/bacon-wrapped-smokies/|https://images.media-allrecipes.com/userphotos/581356.jpg|16|45|45|90|1839|4.7868406742794996
19484|Grilled Marinated Shrimp|https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/|https://images.media-allrecipes.com/userphotos/560x315/667049.jpg|6|30|10|160|1192|4.82
222204|Chef John's Poached Eggs|https://www.allrecipes.com/recipe/222204/chef-johns-poached-eggs/|https://images.media-allrecipes.com/userphotos/560x315/1017298.jpg|2|10|15|25|33|4.31
162760|Fluffy Pancakes|https://www.allrecipes.com/recipe/162760/fluffy-pancakes/|https://images.media-allrecipes.com/userphotos/560x315/5079227.jpg|4|10|10|25|11334|4.83
216391|Easy Sausage Gravy and Biscuits|https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/|https://images.media-allrecipes.com/userphotos/560x315/571726.jpg|8|5|10|15|603|4.81
246512|Puff Pastry Waffles|https://www.allrecipes.com/recipe/246512/puff-pastry-waffles/|https://images.media-allrecipes.com/userphotos/560x315/3374022.jpg|8|5|3|8|19|4.64
21014|Good Old Fashioned Pancakes|https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/|https://images.media-allrecipes.com/userphotos/560x315/4948036.jpg|8|5|15|20|12140|4.59
22180|Waffles I|https://www.allrecipes.com/recipe/22180/waffles-i/|https://images.media-allrecipes.com/userphotos/560x315/3875444.jpg|6|5|15|20|3429|4.5
16895|Fluffy French Toast|https://www.allrecipes.com/recipe/16895/fluffy-french-toast/|https://images.media-allrecipes.com/userphotos/560x315/2049275.jpg|12|10|20|30|2864|4.63
24530|Buttermilk Pancakes II|https://www.allrecipes.com/recipe/24530/buttermilk-pancakes-ii/|https://images.media-allrecipes.com/userphotos/560x315/439719.jpg|12|15|10|25|2851|4.72
16383|Basic Crepes|https://www.allrecipes.com/recipe/16383/basic-crepes/|https://images.media-allrecipes.com/userphotos/560x315/1266.jpg|4|10|20|30|2609|4.63
20513|Classic Waffles|https://www.allrecipes.com/recipe/20513/classic-waffles/|https://images.media-allrecipes.com/userphotos/560x315/34761.jpg|5|10|15|25|2490|4.55
20876|Crustless Spinach Quiche|https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/|https://images.media-allrecipes.com/userphotos/560x315/451789.jpg|6|20|30|50|2286|4.72
17036|Pumpkin Pancakes|https://www.allrecipes.com/recipe/17036/pumpkin-pancakes/|https://images.media-allrecipes.com/userphotos/560x315/705316.jpg|6|20|20|40|2277|4.57
16664|Spinach Quiche|https://www.allrecipes.com/recipe/16664/spinach-quiche/|https://images.media-allrecipes.com/userphotos/560x315/2144550.jpg|6|20|40|60|1953|4.7
20096|Cheesy Ham and Hash Brown Casserole|https://www.allrecipes.com/recipe/20096/cheesy-ham-and-hash-brown-casserole/|https://images.media-allrecipes.com/userphotos/566024.jpg|12|15|60|75|2588|4.549072642967542
236602|Chef John's Corned Beef Hash|https://www.allrecipes.com/recipe/236602/chef-johns-corned-beef-hash/|https://images.media-allrecipes.com/userphotos/1111656.jpg|4|15|35|50|74|4.756756756756757
20334|Banana Pancakes I|https://www.allrecipes.com/recipe/20334/banana-pancakes-i/|https://images.media-allrecipes.com/userphotos/560x315/708583.jpg|6|5|10|15|1810|4.48
15057|Overnight Blueberry French Toast|https://www.allrecipes.com/recipe/15057/overnight-blueberry-french-toast/|https://images.media-allrecipes.com/userphotos/560x315/381517.jpg|10|15|75|600|1629|4.53
9247|Christmas Breakfast Sausage Casserole|https://www.allrecipes.com/recipe/9247/christmas-breakfast-sausage-casserole/|https://images.media-allrecipes.com/userphotos/7274342.jpg|8|20|90|590|2018|4.56788899900892
7016|French Toast I|https://www.allrecipes.com/recipe/7016/french-toast-i/|https://images.media-allrecipes.com/userphotos/560x315/234562.jpg|3|5|15|20|1244|4.55
223042|Chicken Parmesan|https://www.allrecipes.com/recipe/223042/chicken-parmesan/|https://images.media-allrecipes.com/userphotos/4572704.jpg|4|25|20|60|3452|4.816628041714948
213742|Meatball Nirvana|https://www.allrecipes.com/recipe/213742/meatball-nirvana/|https://images.media-allrecipes.com/userphotos/560x315/397070.jpg|4|20|20|40|2904|4.63
78370|Hamburger Steak with Onions and Gravy|https://www.allrecipes.com/recipe/78370/hamburger-steak-with-onions-and-gravy/|https://images.media-allrecipes.com/userphotos/560x315/5938981.jpg|4|15|25|40|2762|4.61
269592|Pork Chops in Garlic Mushroom Sauce|https://www.allrecipes.com/recipe/269592/pork-chops-in-garlic-mushroom-sauce/|https://images.media-allrecipes.com/userphotos/6308774.jpg|8|10|20|30|34|4.5
222002|Chef John's Stuffed Peppers|https://www.allrecipes.com/recipe/222002/chef-johns-stuffed-peppers/|https://images.media-allrecipes.com/userphotos/1415039.jpg|8|30|80|110|2019|4.788509162951956
51283|Maple Salmon|https://www.allrecipes.com/recipe/51283/maple-salmon/|https://images.media-allrecipes.com/userphotos/560x315/862371.jpg|4|10|20|60|3580|4.67
85389|Gourmet Mushroom Risotto|https://www.allrecipes.com/recipe/85389/gourmet-mushroom-risotto/|https://images.media-allrecipes.com/userphotos/560x315/246711.jpg|6|20|30|50|2157|4.8
222582|Baked Spaghetti |https://www.allrecipes.com/recipe/222582/baked-spaghetti/|https://images.media-allrecipes.com/userphotos/560x315/1578406.jpg|8|25|60|85|923|4.7
11998|Greek Penne and Chicken|https://www.allrecipes.com/recipe/11998/greek-penne-and-chicken/|https://images.media-allrecipes.com/userphotos/731490.jpg|4|20|30|50|748|4.3355614973262036
242352|Greek Lemon Chicken and Potatoes|https://www.allrecipes.com/recipe/242352/greek-lemon-chicken-and-potatoes/|https://images.media-allrecipes.com/userphotos/4539284.jpg|4|10|50|60|773|4.7322121604139715
14140|Baked Macaroni and Cheese|https://www.allrecipes.com/recipe/14140/baked-macaroni-and-cheese/|https://images.media-allrecipes.com/userphotos/560x315/964194.jpg|3|None|None|None|443|4.11
92761|Deb's General Tso's Chicken|https://www.allrecipes.com/recipe/92761/debs-general-tsos-chicken/|https://images.media-allrecipes.com/userphotos/3810781.jpg|6|25|30|55|63|4.380952380952381
221936|Quick Fish Tacos|https://www.allrecipes.com/recipe/221936/quick-fish-tacos/|https://images.media-allrecipes.com/userphotos/560x315/1017268.jpg|4|20|15|35|154|4.55
268466|Detroit-Style Pizza|https://www.allrecipes.com/recipe/268466/detroit-style-pizza/|https://images.media-allrecipes.com/userphotos/560x315/5822211.jpg|12|15|15|95|21|4.54
23260|Simple Hamburger Stroganoff|https://www.allrecipes.com/recipe/23260/simple-hamburger-stroganoff/|https://images.media-allrecipes.com/userphotos/560x315/4573295.jpg|6|20|10|30|853|4.3
223050|Chef John's Turkey Sloppy Joes|https://www.allrecipes.com/recipe/223050/chef-johns-turkey-sloppy-joes/|https://images.media-allrecipes.com/userphotos/560x315/1259534.jpg|6|10|30|40|328|4.74
50644|Broiled Tilapia Parmesan|https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/|https://images.media-allrecipes.com/userphotos/560x315/687910.jpg|8|5|10|15|7175|4.71
16066|Awesome Slow Cooker Pot Roast|https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/|https://images.media-allrecipes.com/userphotos/560x315/2287775.jpg|12|10|480|490|7031|4.64
25203|Brown Sugar Meatloaf|https://www.allrecipes.com/recipe/25203/brown-sugar-meatloaf/|https://images.media-allrecipes.com/userphotos/560x315/2573174.jpg|8|20|60|90|6491|4.58
11758|Baked Ziti I|https://www.allrecipes.com/recipe/11758/baked-ziti-i/|https://images.media-allrecipes.com/userphotos/560x315/4557541.jpg|10|20|35|55|5903|4.7
16354|Easy Meatloaf|https://www.allrecipes.com/recipe/16354/easy-meatloaf/|https://images.media-allrecipes.com/userphotos/560x315/7698881.jpg|8|10|60|70|5708|4.58
9023|Baked Teriyaki Chicken|https://www.allrecipes.com/recipe/9023/baked-teriyaki-chicken/|https://images.media-allrecipes.com/userphotos/4530047.jpg|6|30|60|90|7420|4.649595687331536
24264|Sloppy Joes II|https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/|https://images.media-allrecipes.com/userphotos/560x315/747244.jpg|6|10|30|40|5263|4.67
8669|Chicken Cordon Bleu II|https://www.allrecipes.com/recipe/8669/chicken-cordon-bleu-ii/|https://images.media-allrecipes.com/userphotos/4535588.jpg|6|15|45|60|6780|4.77787610619469
65896|Zesty Slow Cooker Chicken Barbecue|https://www.allrecipes.com/recipe/65896/zesty-slow-cooker-chicken-barbecue/|https://images.media-allrecipes.com/userphotos/879977.jpg|6|10|240|250|6251|4.574948008318669
16348|Baked Pork Chops I|https://www.allrecipes.com/recipe/16348/baked-pork-chops-i/|https://images.media-allrecipes.com/userphotos/642155.jpg|6|30|90|120|6062|4.550148465852854
8887|Chicken Marsala|https://www.allrecipes.com/recipe/8887/chicken-marsala/|https://images.media-allrecipes.com/userphotos/5107151.jpg|4|10|20|30|5550|4.543423423423423
12720|Grilled Salmon I|https://www.allrecipes.com/recipe/12720/grilled-salmon-i/|https://images.media-allrecipes.com/userphotos/560x315/800839.jpg|6|15|16|151|3616|4.76
141678|Slow Cooker Pulled Pork|https://www.allrecipes.com/recipe/141678/slow-cooker-pulled-pork/|https://images.media-allrecipes.com/userphotos/586964.jpg|8|10|420|430|4972|4.61102172164119
16700|Salsa Chicken|https://www.allrecipes.com/recipe/16700/salsa-chicken/|https://images.media-allrecipes.com/userphotos/4487510.jpg|4|5|40|45|4617|4.625947585011913
8694|Chicken Enchiladas II|https://www.allrecipes.com/recipe/8694/chicken-enchiladas-ii/|https://images.media-allrecipes.com/userphotos/663423.jpg|6|15|30|45|4526|4.5640742377375165
64513|Rosemary Ranch Chicken Kabobs|https://www.allrecipes.com/recipe/64513/rosemary-ranch-chicken-kabobs/|https://images.media-allrecipes.com/userphotos/642001.jpg|6|50|10|60|4526|4.708130799823244
45954|Roast Sticky Chicken-Rotisserie Style|https://www.allrecipes.com/recipe/45954/roast-sticky-chicken-rotisserie-style/|https://images.media-allrecipes.com/userphotos/46458.jpg|8|10|300|550|4470|4.690380313199105
162091|Awesome Red Wine Pot Roast|https://www.allrecipes.com/recipe/162091/awesome-red-wine-pot-roast/|https://images.media-allrecipes.com/userphotos/560x315/597886.jpg|12|15|255|270|187|4.53
25678|Beef Stew VI|https://www.allrecipes.com/recipe/25678/beef-stew-vi/|https://images.media-allrecipes.com/userphotos/560x315/729310.jpg|10|20|120|140|2410|4.62
262326|A Minnesotan's Beef and Macaroni Hotdish|https://www.allrecipes.com/recipe/262326/a-minnesotans-beef-and-macaroni-hotdish/|https://images.media-allrecipes.com/userphotos/560x315/5051887.jpg|6|15|25|40|21|4.52
236322|Chicago-Inspired Italian Beef Sandwich |https://www.allrecipes.com/recipe/236322/chicago-inspired-italian-beef-sandwich/|https://images.media-allrecipes.com/userphotos/560x315/1100724.jpg|4|15|70|85|27|4.65
158229|The Real Deal Korean Beef Ribs|https://www.allrecipes.com/recipe/158229/the-real-deal-korean-beef-ribs/|https://images.media-allrecipes.com/userphotos/560x315/7645924.jpg|6|15|15|1530|16|4.37
232247|Tennessee Meatloaf|https://www.allrecipes.com/recipe/232247/tennessee-meatloaf/|https://images.media-allrecipes.com/userphotos/1044986.jpg|10|40|60|115|131|4.549618320610687
231026|Keema Aloo (Ground Beef and Potatoes)|https://www.allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/|https://images.media-allrecipes.com/userphotos/560x315/6282786.jpg|8|20|55|80|172|4.61
160399|Prime Rib Au Jus with Yorkshire Pudding|https://www.allrecipes.com/recipe/160399/prime-rib-au-jus-with-yorkshire-pudding/|https://images.media-allrecipes.com/userphotos/250x250/343775.jpg|6|20|90|260|62|4.59
78299|Boilermaker Tailgate Chili|https://www.allrecipes.com/recipe/78299/boilermaker-tailgate-chili/|https://images.media-allrecipes.com/userphotos/890638.jpg|12|30|120|150|7477|4.8186438411127455
14685|Slow Cooker Beef Stew I|https://www.allrecipes.com/recipe/14685/slow-cooker-beef-stew-i/|https://images.media-allrecipes.com/userphotos/560x315/276397.jpg|6|20|720|740|3696|4.44
14595|Salisbury Steak|https://www.allrecipes.com/recipe/14595/salisbury-steak/|https://images.media-allrecipes.com/userphotos/560x315/6941073.jpg|6|20|20|40|3415|4.41
16352|Slow Cooker Beef Stroganoff I|https://www.allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/|https://images.media-allrecipes.com/userphotos/560x315/4443.jpg|4|10|480|490|2938|4.38
16239|Easy Slow Cooker French Dip|https://www.allrecipes.com/recipe/16239/easy-slow-cooker-french-dip/|https://images.media-allrecipes.com/userphotos/560x315/10316.jpg|9|10|420|430|2882|4.51
16881|Burrito Pie|https://www.allrecipes.com/recipe/16881/burrito-pie/|https://images.media-allrecipes.com/userphotos/560x315/392583.jpg|16|30|30|60|2839|4.56
21353|Italian Spaghetti Sauce with Meatballs|https://www.allrecipes.com/recipe/21353/italian-spaghetti-sauce-with-meatballs/|https://images.media-allrecipes.com/userphotos/560x315/5864844.jpg|6|20|120|140|2597|4.53
23567|Slow-Cooker Pepper Steak|https://www.allrecipes.com/recipe/23567/slow-cooker-pepper-steak/|https://images.media-allrecipes.com/userphotos/560x315/496244.jpg|6|20|250|270|2365|4.45
16235|Debdoozie's Blue Ribbon Chili|https://www.allrecipes.com/recipe/16235/debdoozies-blue-ribbon-chili/|https://images.media-allrecipes.com/userphotos/560x315/593156.jpg|8|10|60|70|2410|4.77
14985|It's Chili by George!!|https://www.allrecipes.com/recipe/14985/its-chili-by-george/|https://images.media-allrecipes.com/userphotos/560x315/5243640.jpg|10|10|105|115|2266|4.65
24202|Shepherd's Pie VI|https://www.allrecipes.com/recipe/24202/shepherds-pie-vi/|https://images.media-allrecipes.com/userphotos/560x315/2946632.jpg|6|30|20|50|2157|4.47
83557|Juicy Roasted Chicken|https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/|https://images.media-allrecipes.com/userphotos/389250.jpg|6|10|75|100|3578|4.704583566238122
228293|Curry Stand Chicken Tikka Masala Sauce|https://www.allrecipes.com/recipe/228293/curry-stand-chicken-tikka-masala-sauce/|https://images.media-allrecipes.com/userphotos/5504832.jpg|6|15|65|80|1955|4.912531969309463
216159|Perfect Chicken|https://www.allrecipes.com/recipe/216159/perfect-chicken/|https://images.media-allrecipes.com/userphotos/830680.jpg|4|10|75|85|90|4.7
218794|Chicken and Gnocchi Soup|https://www.allrecipes.com/recipe/218794/chicken-and-gnocchi-soup/|https://images.media-allrecipes.com/userphotos/3678779.jpg|6|20|20|40|1023|4.67741935483871
17711|Marinated Ranch Broiled Chicken|https://www.allrecipes.com/recipe/17711/marinated-ranch-broiled-chicken/|https://images.media-allrecipes.com/userphotos/1022908.jpg|2|5|15|80|472|4.476694915254237
276263|Rosemary-Roasted Chicken with Apples and Potatoes|https://www.allrecipes.com/recipe/276263/rosemary-roasted-chicken-with-apples-and-potatoes/|https://images.media-allrecipes.com/userphotos/560x315/7102083.jpg|6|10|70|80|18|4.63
26317|Chicken Pot Pie IX|https://www.allrecipes.com/recipe/26317/chicken-pot-pie-ix/|https://images.media-allrecipes.com/userphotos/4535759.jpg|8|20|50|70|12227|4.811400997791773
8941|Slow Cooker Chicken and Dumplings|https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/|https://images.media-allrecipes.com/userphotos/806223.jpg|8|10|360|370|9617|4.366330456483311
70343|Slow Cooker Chicken Taco Soup|https://www.allrecipes.com/recipe/70343/slow-cooker-chicken-taco-soup/|https://images.media-allrecipes.com/userphotos/272744.jpg|8|15|420|435|7281|4.676006043125944
8652|Garlic Chicken|https://www.allrecipes.com/recipe/8652/garlic-chicken/|https://images.media-allrecipes.com/userphotos/4562452.jpg|4|20|35|55|6009|4.5701447828257615
89539|Slow-Cooker Chicken Tortilla Soup|https://www.allrecipes.com/recipe/89539/slow-cooker-chicken-tortilla-soup/|https://images.media-allrecipes.com/userphotos/193211.jpg|8|30|480|510|5487|4.678148350646984
8665|Braised Balsamic Chicken|https://www.allrecipes.com/recipe/8665/braised-balsamic-chicken/|https://images.media-allrecipes.com/userphotos/532125.jpg|6|10|25|35|4551|4.385409800043947
143082|Sweet, Sticky and Spicy Chicken|https://www.allrecipes.com/recipe/143082/sweet-sticky-and-spicy-chicken/|https://images.media-allrecipes.com/userphotos/7245774.jpg|4|10|12|22|4416|4.487092391304348
17227|Slow Cooker Chicken Stroganoff|https://www.allrecipes.com/recipe/17227/slow-cooker-chicken-stroganoff/|https://images.media-allrecipes.com/userphotos/508287.jpg|4|10|300|310|4212|4.39624881291548
11967|Angel Chicken Pasta|https://www.allrecipes.com/recipe/11967/angel-chicken-pasta/|https://images.media-allrecipes.com/userphotos/525185.jpg|6|30|60|90|3973|4.495091870123333
68532|Curried Coconut Chicken|https://www.allrecipes.com/recipe/68532/curried-coconut-chicken/|https://images.media-allrecipes.com/userphotos/3591067.jpg|6|20|50|70|3736|4.497055674518201
261148|Creamy Pasta Bake with Cherry Tomatoes and Basil|https://www.allrecipes.com/recipe/261148/creamy-pasta-bake-with-cherry-tomatoes-and-basil/|https://images.media-allrecipes.com/userphotos/560x315/4573350.jpg|6|20|31|51|71|4.73
218091|Classic and Simple Meat Lasagna|https://www.allrecipes.com/recipe/218091/classic-and-simple-meat-lasagna/|https://images.media-allrecipes.com/userphotos/560x315/994958.jpg|8|25|60|95|142|4.61
273326|Parmesan-Crusted Shrimp Scampi with Pasta|https://www.allrecipes.com/recipe/273326/parmesan-crusted-shrimp-scampi-with-pasta/|https://images.media-allrecipes.com/userphotos/560x315/3354694.jpg|6|25|20|45|101|4.51
229960|Shrimp Scampi with Pasta|https://www.allrecipes.com/recipe/229960/shrimp-scampi-with-pasta/|https://images.media-allrecipes.com/userphotos/560x315/2606852.jpg|6|20|20|40|713|4.58
133128|Peppered Shrimp Alfredo|https://www.allrecipes.com/recipe/133128/peppered-shrimp-alfredo/|https://images.media-allrecipes.com/userphotos/560x315/4095462.jpg|6|30|20|50|1515|4.78
23431|To Die For Fettuccine Alfredo|https://www.allrecipes.com/recipe/23431/to-die-for-fettuccine-alfredo/|https://images.media-allrecipes.com/userphotos/560x315/6825280.jpg|6|15|15|30|1487|4.61
275489|Chef John's American Goulash|https://www.allrecipes.com/recipe/275489/chef-johns-american-goulash/|https://images.media-allrecipes.com/userphotos/560x315/6959456.jpg|12|10|60|75|60|4.89
151593|Campbell's® Tuna Noodle Casserole|https://www.allrecipes.com/recipe/151593/campbells-tuna-noodle-casserole/|https://images.media-allrecipes.com/userphotos/250x250/979363.jpg|8|10|35|45|291|4.36
