recipe_num|category
15225|World
15225|Main
15225|Dinner
83853|Breakfast
83853|Main
221286|Entertaining
221286|Quick Easy
221286|Cinco
221286|Mexican
221286|Appetizer
221286|Holiday
221286|World
22694|Recipe Types
22694|Snack
22694|Appetizers and Snacks
22694|Recipe Types
22694|New Year's
22694|Valentine's Day
22694|30 Minutes to 1 Hour
22694|Theme Parties
22694|Bacon (Pork)
22694|Super Bowl
22694|Beginner
22694|Dairy-Free
22694|Gluten-Free
22694|Paleolithic Diet
22694|Whole30
22694|Pork - Main Dishes Only [Ad Channel]
22694|Dinner Spinner
22694|Quick and Easy
22694|AR Photo
22694|ReynoldsFoil
22694|Licensing
22694|Safeway
22694|Canadian Occasions
22694|Grey Cup
22694|Meat
22694|Appetizers and Snacks
22694|Fruit
22694|Date
22694|Pork
22694|Bacon (Pork)
22694|Meat and Poultry
22694|Pork
22694|Bacon
22694|Appetizers
175989|Entertaining
175989|Appetizer
245429|Appetizer
216756|Brunch
216756|Breakfast/Brunch [Ad Channel]
216756|Videos (Not Web Shows)
216756|Video Cookbook
216756|Appetizers and Snacks
216756|Moderate Effort
216756|New Year's
216756|30 Minutes to 1 Hour
216756|Casual Entertaining
216756|Buffet and Potluck
216756|Warm Temperature
216756|Theme Parties
216756|Cheese
216756|Meat
216756|Pork
216756|Ham
216756|Swiss Cheese
216756|Savory Flavor
216756|Baked Goods
216756|Bread [Ingredient]
216756|Oktoberfest
216756|Quick and Easy
216756|Cocktail Party
216756|Beginner
216756|Low-Potassium
216756|Recipe Types
216756|Appetizers and Snacks
216756|Oven
216756|Baked
216756|Recipe Types
216756|Tapas
216756|Top 200 Recipes (Not Sponsorable)
216756|ReynoldsFoil
216756|Meat
216756|Pork
216756|Ham
216756|Sliced Ham
216756|Breakfast and Brunch
216756|Meat and Seafood
216756|Ham
15184|Vegetarian
15184|Lowcarb
15184|Appetizer
15184|Holiday
203800|Paleo
203800|Low Calorie
203800|Budget
203800|Cinco
203800|Mexican
203800|Lowfat
203800|Appetizer
203800|Holiday
203800|World
176957|Clean Eating
176957|Gluten Free
176957|Paleo
176957|Dairy Free
176957|Low Calorie
176957|Health
176957|Budget
176957|Quick Easy
176957|Appetizer
176957|Holiday
239969|Appetizer
24909|Quick Easy
24909|Seafood
24909|Lowcarb
24909|Appetizer
235095|Oven
235095|Baked
235095|New Year's
235095|Valentine's Day
235095|Christmas
235095|30 Minutes to 1 Hour
235095|Theme Parties
235095|Recipe Types
235095|Tailgating
235095|Tropical
235095|Quick and Easy
235095|Cocktail Party
235095|Fruit
235095|Meat
235095|Appetizers and Snacks
235095|Fruit
235095|Vegetable
235095|Pork
235095|Bacon (Pork)
235095|Pineapple
235095|Water Chestnuts
235095|Appetizers/Snacks [Ad Channel]
235095|Retro Recipes
235095|1950s Recipes
235095|Allrecipes Magazine
235095|Allrecipes Magazine Logo
235095|Experienced
235095|Pineapple
235095|Pineapple, Fresh
235095|Appetizers and Snacks
235095|Meat and Poultry
69225|Inspired Cuisine
69225|Italian Inspired
69225|Appetizers and Snacks
69225|Beginner
69225|Valentine's Day
69225|Fruit
69225|Berry
69225|Strawberry
69225|Gourmet
69225|Recipe Types
69225|Low Fat
69225|Low-Potassium
69225|Fruit
69225|Fruit State
69225|Fresh Fruit
69225|Breakfast/Brunch [Ad Channel]
69225|Bruschetta
69225|Wedding
69225|Localization Project
69225|Sales and Marketing Partners
69225|AR Photo
69225|Licensing
69225|UK and Ireland ROD
69225|UK and Ireland ROD Summer
69225|Spring
69225|Walmart Fresh Berries
69225|Target
69225|5 to 30 Minutes
69225|Appetizers and Snacks
69225|Bruschetta
223012|Family
223012|Quick Easy
223012|Appetizer
16679|Entertaining
16679|Quick Easy
16679|BBQ
16679|Seafood
16679|Lowcarb
16679|Main
16679|Dinner
229454|Entertaining
229454|Easter
229454|Appetizer
229454|Holiday
14231|Vegan
14231|Paleo
14231|Entertaining
14231|Vegetarian
14231|Mexican
14231|Lowcarb
14231|Appetizer
14231|World
68461|Appetizers and Snacks
68461|Recipe Types
68461|Recipe Types
68461|Appetizers and Snacks
68461|Theme Parties
68461|Dips and Spreads
68461|Poultry
68461|Chicken
68461|Super Bowl
68461|Geographic
68461|Geographic
68461|North America
68461|North America
68461|United States
68461|Middle Atlantic United States
68461|New York
68461|Chicken - Main Dishes Only [Ad Channel]
68461|Low-Potassium
68461|Sales and Marketing Partners
68461|Top 200 Recipes (Not Sponsorable)
68461|ReynoldsFoil
68461|Dinner Spinner
68461|Ford Flex
68461|Menus
68461|Top Recipes
68461|Hall of Fame
68461|Licensing
68461|Safeway
68461|Videos (Not Web Shows)
68461|Video Cookbook
68461|Canadian Occasions
68461|Grey Cup
68461|Spicy Flavor
68461|Winter
68461|Buffalo Flavor
68461|Canned Goods
68461|One Can
68461|Beginner
68461|Appetizers and Snacks
68461|Dips and Spreads
68461|Buffalo Chicken Dip
26692|Health
26692|Entertaining
26692|Vegetarian
26692|Mexican
26692|Appetizer
26692|Holiday
26692|World
139012|Entertaining
139012|Appetizer
24087|Dinner
24087|Stovetop
24087|Pan Fried
24087|Recipe Types
24087|[Yahoo] Main Ingredient
24087|[Yahoo] Chicken
24087|[Yahoo] Course/Meal
24087|[Yahoo] Appetizer
24087|[Yahoo] Dinner
24087|[Yahoo] Hors d'ouevres
24087|[Yahoo] Provider
24087|[Yahoo] All Recipes
24087|[Yahoo] Taste & Texture
24087|[Yahoo] Rich
24087|[Yahoo] Salty
24087|[Yahoo] Meaty
24087|[Yahoo] Occasion/Holiday
24087|[Yahoo] Super Bowl
24087|Appetizers and Snacks
24087|Chicken Wings Appetizers
24087|Geographic
24087|North America
24087|United States
24087|Middle Atlantic United States
24087|New York
24087|Chicken - Main Dishes Only [Ad Channel]
24087|AR Photo
24087|Allrecipes Magazine
24087|Allrecipes Magazine Logo
24087|ReynoldsFoil
24087|HVR Shaker Recipes
24087|Menus
24087|Top Recipes
24087|Hall of Fame
24087|Sales and Marketing Partners
24087|Home Depot
24087|Licensing
24087|Safeway
24087|Videos (Not Web Shows)
24087|Video Cookbook
24087|Canadian Occasions
24087|Grey Cup
24087|Buffet and Potluck
24087|Theme Parties
24087|Super Bowl
24087|Messy Recipe
24087|Copycat Recipe
24087|Dippable [Sponsor]
24087|Western United States
24087|Mountain West
24087|Colorado
24087|Poultry
24087|Chicken
24087|Chicken Wings
24087|Spicy Flavor
24087|Buffalo Flavor
24087|Experienced
24087|Autumn
24087|Appetizers and Snacks
24087|Spicy
20669|Vegetarian
20669|Italian
20669|Appetizer
20669|World
26819|Vegetarian
26819|Passover
26819|Appetizer
33474|Vegetarian
33474|Lowcarb
33474|Appetizer
19673|Entertaining
19673|Mexican
19673|Appetizer
19673|World
71722|Dairy Free
71722|Asian
71722|Beef
71722|Appetizer
71722|World
14939|Recipe Types
14939|Snack
14939|Appetizers and Snacks
14939|Beginner
14939|5 to 30 Minutes
14939|Recipe Types
14939|Hot Temperature
14939|Appetizers and Snacks
14939|Theme Parties
14939|Meat
14939|Pork
14939|Bacon (Pork)
14939|Super Bowl
14939|Sausage - Main Dishes Only [Ad Channel]
14939|Quick and Easy
14939|Retro Recipes
14939|Allrecipes Magazine
14939|Allrecipes Magazine Logo
14939|DMP Segments
14939|ReynoldsFoil
14939|Menus
14939|Top Recipes
14939|Hall of Fame
14939|Sales and Marketing Partners
14939|Home Depot
14939|Licensing
14939|Safeway
14939|Canadian Occasions
14939|Grey Cup
14939|Lifestyle
14939|Entertaining
14939|Parties
14939|March Madness
14939|Winter
14939|Meat
14939|Pork
14939|Bacon (Pork)
14939|1980s Recipes
14939|Back to School (Tyson)
14939|Appetizers and Snacks
14939|Meat and Poultry
13838|Entertaining
13838|Appetizer
13838|Holiday
14830|Gluten Free
14830|Vegan
14830|Dairy Free
14830|Budget
14830|Vegetarian
14830|Lowcarb
14830|Appetizer
14830|World
17753|Seafood
17753|Appetizer
17753|Main
15206|Dairy Free
15206|Budget
15206|Slow
15206|Beef
15206|Appetizer
15206|Holiday
81298|Dairy Free
81298|Health
81298|Budget
81298|Appetizer
69919|Appetizers and Snacks
69919|Oven
69919|Baked
69919|Recipe Types
69919|Recipe Types
69919|[Yahoo] Main Ingredient
69919|[Yahoo] Pork
69919|[Yahoo] Course/Meal
69919|[Yahoo] Appetizer
69919|[Yahoo] Hors d'ouevres
69919|[Yahoo] Provider
69919|[Yahoo] All Recipes
69919|[Yahoo] Taste & Texture
69919|[Yahoo] Meaty
69919|[Yahoo] Cooking Method
69919|[Yahoo] Slow Cook
69919|[Yahoo] Baking
69919|Hot Temperature
69919|Appetizers and Snacks
69919|Theme Parties
69919|Bacon (Pork)
69919|Super Bowl
69919|Appliances
69919|Slow Cooker
69919|Beginner
69919|1 to 3 Hours
69919|Pork - Main Dishes Only [Ad Channel]
69919|Quick and Easy
69919|Retro Recipes
69919|Dippable [Sponsor]
69919|ReynoldsSlowCooker
69919|Sales and Marketing Partners
69919|Ford Flex
69919|Home Depot
69919|Menus
69919|Top Recipes
69919|Licensing
69919|Safeway
69919|Videos (Not Web Shows)
69919|Video Cookbook
69919|Canadian Occasions
69919|Grey Cup
69919|Lifestyle
69919|Entertaining
69919|Parties
69919|March Madness
69919|Winter
69919|Meat
69919|Pork
69919|Bacon (Pork)
69919|Stuffed Appetizers
69919|Bacon-Wrapped Appetizers
69919|1980s Recipes
69919|Meat and Poultry
69919|Pork
69919|Bacon
69919|Appetizers
19484|Gluten Free
19484|Dairy Free
19484|Family
19484|BBQ
19484|Seafood
19484|Lowcarb
19484|Appetizer
19484|Main
19484|Dinner
222204|One Two
222204|Paleo
222204|Budget
222204|Quick Easy
222204|Mother
222204|Easter
222204|Breakfast
222204|Holiday
222204|Main
162760|Vegetarian
162760|Breakfast
216391|Budget
216391|Breakfast
216391|Pork
216391|Main
246512|Family
246512|Quick Easy
246512|Breakfast
21014|Budget
21014|Quick Easy
21014|Breakfast
22180|Budget
22180|Quick Easy
22180|Breakfast
16895|Weight Loss
16895|Low Calorie
16895|Family
16895|Budget
16895|Quick Easy
16895|Lowfat
16895|Breakfast
16895|Main
24530|Breakfast
16383|Quick Easy
16383|Holiday
16383|World
16383|Main
20513|Breakfast
20876|Vegetarian
20876|Passover
20876|Mother
20876|Easter
20876|Breakfast
20876|Lowcarb
20876|Holiday
20876|Main
17036|Breakfast
16664|Vegetarian
16664|Easter
16664|Holiday
16664|Main
20096|Recipe Types
20096|Breakfast
20096|Main Dishes
20096|Oven
20096|Baked
20096|Recipe Types
20096|[Yahoo] Main Ingredient
20096|[Yahoo] Cheese & Dairy
20096|[Yahoo] Course/Meal
20096|[Yahoo] Breakfast
20096|[Yahoo] Brunch
20096|[Yahoo] Side Dish
20096|[Yahoo] Main Dish
20096|[Yahoo] Dishes
20096|[Yahoo] Casserole
20096|[Yahoo] Side
20096|[Yahoo] Provider
20096|[Yahoo] All Recipes
20096|[Yahoo] Taste & Texture
20096|[Yahoo] Rich
20096|[Yahoo] Salty
20096|[Yahoo] Savory
20096|[Yahoo] Meaty
20096|Ham
20096|[Yahoo] Cooking Method
20096|[Yahoo] Baking
20096|New Year's
20096|Meat
20096|Pork
20096|Breakfast/Brunch [Ad Channel]
20096|Dinner Spinner
20096|Vegetable
20096|Meat
20096|Vegetable
20096|Nightshade
20096|Nightshade
20096|Potato
20096|Main Dishes
20096|Casserole Main Dishes
20096|Egg Dishes
20096|Low Carbohydrate
20096|DMP Segments
20096|ReynoldsFoil
20096|Menus
20096|Top Recipes
20096|Licensing
20096|Safeway
20096|Videos (Not Web Shows)
20096|Video Cookbook
20096|Cheese
20096|Cheddar Cheese
20096|Comfort Food
20096|Canned Goods
20096|One Can
20096|Experienced
20096|Pork
20096|Ham
20096|Sliced Ham
20096|Back to School (Tyson)
20096|Breakfast and Brunch
20096|Potatoes
236602|Breakfast
236602|Geographic
236602|Europe
236602|Northern Europe
236602|UK and Ireland
236602|Ireland
236602|Side Dishes
236602|Potato Side Dishes
236602|Stovetop
236602|Pan Fried
236602|St. Patrick's Day
236602|30 Minutes to 1 Hour
236602|Vegetable
236602|Meat
236602|Beef
236602|Nightshade
236602|Potato
236602|Recipe Types
236602|Breakfast/Brunch [Ad Channel]
236602|Quick and Easy
236602|Food Wishes
236602|Videos (Not Web Shows)
236602|Video Cookbook
236602|Corned Beef
236602|Recipe Types
236602|Side Dishes
236602|Vegetable
236602|Nightshade
236602|Budget Conscious
236602|Comfort Food
236602|Experienced
236602|ReynoldsSlowCooker
236602|Side Dish
236602|Potatoes
20334|Breakfast
15057|Mother
15057|Breakfast
15057|Holiday
15057|Main
9247|Recipe Types
9247|Breakfast
9247|Main Dishes
9247|Oven
9247|Baked
9247|Breakfast/Brunch [Ad Channel]
9247|Sales and Marketing Partners
9247|Dinner Spinner
9247|Nature's Pride
9247|Meat
9247|Eggs
9247|Meat
9247|Pork
9247|Pork
9247|Pork Sausage
9247|Ground Pork
9247|Allrecipes Magazine
9247|Allrecipes Magazine Logo
9247|DMP Segments
9247|ReynoldsFoil
9247|Menus
9247|Top Recipes
9247|Licensing
9247|Safeway
9247|Videos (Not Web Shows)
9247|Video Cookbook
9247|Egg Dishes
9247|Christmas
9247|Winter
9247|Cheese
9247|Cheddar Cheese
9247|Breakfast Egg Casseroles
9247|Appliances
9247|Toaster
9247|Experienced
9247|90 Plus Minutes
9247|Back to School (Tyson)
9247|Breakfast and Brunch
9247|Eggs
7016|Breakfast
7016|Main
223042|Dinner
223042|Inspired Cuisine
223042|Italian Inspired
223042|Oven
223042|Stovetop
223042|Baked
223042|Pan Fried
223042|Recipe Types
223042|Main Dishes
223042|Poultry
223042|Chicken
223042|Poultry Main Dishes
223042|Chicken Parmesan
223042|Mozzarella Cheese
223042|Chicken Breasts
223042|Boneless Chicken Breasts
223042|Chicken - Main Dishes Only [Ad Channel]
223042|Food Wishes
223042|Videos (Not Web Shows)
223042|Video Cookbook
223042|Allrecipes Magazine
223042|Allrecipes Magazine Logo
223042|Top 200 Recipes (Not Sponsorable)
223042|ReynoldsFoil
223042|Experienced
223042|30 Minutes to 1 Hour
223042|Cheese
223042|Parmesan Cheese
223042|Provolone Cheese
223042|World Cuisine
223042|European
223042|Italian
213742|Beef
213742|Main
213742|Dinner
78370|Family
78370|Budget
78370|Quick Easy
78370|Beef
78370|World
78370|Main
78370|Dinner
269592|Dinner
269592|Main Dishes
269592|Stovetop
269592|Experienced
269592|Valentine's Day
269592|5 to 30 Minutes
269592|Formal Entertaining
269592|Mushrooms
269592|Vegetable
269592|Meat
269592|Pork
269592|Meat Main Dishes
269592|Allium
269592|Garlic
269592|Recipe Types
269592|Pork Chops
269592|Simmered
269592|Chops
269592|Pork - Main Dishes Only [Ad Channel]
269592|Main Dish
269592|Pork
269592|Pork Chops
269592|Boneless
222002|Dinner
222002|Rice
222002|Other Preparation Methods
222002|Stuffed
222002|White Rice
222002|Beef - Main Dishes Only [Ad Channel]
222002|Web Shows
222002|Food Wishes
222002|Allrecipes Magazine
222002|Allrecipes Magazine Logo
222002|Top 200 Recipes (Not Sponsorable)
222002|ReynoldsFoil
222002|Aluminum Foil
222002|Bakeware
222002|Vegetable
222002|Pork Sausage
222002|Meat Main Dishes
222002|Nightshade
222002|Peppers
222002|Bell Peppers
222002|Whole Grains
222002|Oven
222002|Baked
222002|Experienced
222002|1 to 3 Hours
222002|Recipe Types
222002|Main Dishes
222002|Bakeware
222002|Cheese
222002|Meat
222002|Beef
222002|Pork
222002|Parmesan Cheese
222002|Ground Beef
222002|Baking Pan
222002|Baking Pan (9 x 13 Inch)
222002|Casual Entertaining
222002|Canned Goods
222002|One Can
222002|Experienced
222002|Baking Pan
222002|Rectangular Pan
222002|Baking Pan (9 x 13 inch)
222002|Main Dish
222002|Stuffed Main Dishes
222002|Stuffed Bell Peppers
51283|Family
51283|Health
51283|Salmon
51283|Seafood
51283|Holiday
51283|World
51283|Main
51283|Dinner
85389|Italian
85389|World
85389|Main
85389|Dinner
222582|Casserole
222582|Pasta
222582|Beef
222582|Main
222582|Dinner
11998|Recipe Types
11998|Dinner
11998|Geographic
11998|Europe
11998|Southern Europe
11998|Greece
11998|Main Dishes
11998|Recipe Types
11998|Low Glycemic Index
11998|High Fiber
11998|Mediterranean Diet
11998|Vegetable
11998|Pasta and Noodles
11998|Poultry
11998|Nightshade
11998|Chicken
11998|Tomato
11998|Tubular Pasta
11998|Chicken Breasts
11998|Penne Pasta
11998|Main Dishes
11998|30 Minutes to 1 Hour
11998|Healthy [Ad Channel]
11998|Localization Project
11998|UK and Ireland ROD
11998|UK and Ireland ROD Spring
11998|Licensing
11998|Safeway
11998|Videos (Not Web Shows)
11998|Video Cookbook
11998|Nightshade
11998|Poultry Main Dishes
11998|Budget Conscious
11998|Canned Goods
11998|One Can
11998|Experienced
11998|World Cuisine
11998|European
11998|Greek
242352|Dinner
242352|Oven
242352|Roasted
242352|Recipe Types
242352|Whole30
242352|Main Dishes
242352|Experienced
242352|30 Minutes to 1 Hour
242352|Warm Temperature
242352|Fruit
242352|Vegetable
242352|Lemon
242352|Poultry Main Dishes
242352|Poultry
242352|Chicken
242352|Nightshade
242352|Potato
242352|Seasonings
242352|Herbs
242352|Oregano
242352|Chicken Thighs
242352|Lemon Juice
242352|Chicken - Main Dishes Only [Ad Channel]
242352|Sheet Pan Meals
242352|Meat and Poultry
242352|Chicken
242352|Chicken Thighs
14140|One Two
14140|Family
14140|Vegetarian
14140|Casserole
14140|Pasta
14140|Main
14140|Dinner
92761|Dinner
92761|Geographic
92761|Inspired Cuisine
92761|Asia
92761|Eastern Asia
92761|China
92761|Main Dishes
92761|Stovetop
92761|Deep Fried
92761|Experienced
92761|Moderate Effort
92761|30 Minutes to 1 Hour
92761|Hot Temperature
92761|Poultry Main Dishes
92761|Poultry
92761|Chicken
92761|Recipe Types
92761|Chicken Thighs
92761|Syrup and Sweeteners
92761|Sugar
92761|Chicken - Main Dishes Only [Ad Channel]
92761|Experienced
92761|World Cuisine
92761|Asian
92761|Chinese
221936|Budget
221936|Quick Easy
221936|Mexican
221936|Seafood
221936|World
221936|Main
221936|Dinner
268466|Entertaining
268466|World
268466|Main
268466|Dinner
23260|Family
23260|Budget
23260|Quick Easy
23260|Pasta
23260|Beef
23260|Main
23260|Dinner
223050|Main
223050|Dinner
50644|Family
50644|Budget
50644|Seafood
50644|Lowcarb
50644|Main
50644|Dinner
16066|Family
16066|Slow
16066|Beef
16066|Lowcarb
16066|Main
16066|Dinner
25203|Family
25203|Beef
25203|Main
25203|Dinner
11758|Entertaining
11758|Budget
11758|Pasta
11758|Beef
11758|Main
11758|Dinner
16354|Family
16354|Beef
16354|Main
16354|Dinner
9023|Dinner
9023|Oven
9023|Baked
9023|Beginner
9023|Recipe Types
9023|[Yahoo] Main Ingredient
9023|[Yahoo] Chicken
9023|[Yahoo] Course/Meal
9023|[Yahoo] Dinner
9023|[Yahoo] Provider
9023|[Yahoo] All Recipes
9023|[Yahoo] Cooking Method
9023|[Yahoo] Baking
9023|[Yahoo] Taste & Texture
9023|[Yahoo] Salty
9023|[Yahoo] Savory
9023|[Yahoo] Meaty
9023|Chicken - Main Dishes Only [Ad Channel]
9023|Lifestyle
9023|Allrecipes Magazine
9023|Allrecipes Magazine Logo
9023|Top 200 Recipes (Not Sponsorable)
9023|ReynoldsFoil
9023|Sales and Marketing Partners
9023|Ford Flex
9023|Menus
9023|Top Recipes
9023|Hall of Fame
9023|Kraft
9023|Kraft Homestyle Family Favorites
9023|Licensing
9023|Safeway
9023|Videos (Not Web Shows)
9023|Video Cookbook
9023|Potluck
9023|Sour and Tangy Flavor
9023|Budget Conscious
9023|Main Dishes
9023|Poultry Main Dishes
9023|Poultry
9023|Chicken
9023|Chicken Thighs
9023|Meat and Poultry
9023|Chicken
9023|Chicken Thighs
24264|Family
24264|Budget
24264|Beef
24264|Holiday
24264|Main
24264|Dinner
8669|Dinner
8669|Geographic
8669|Europe
8669|Western Europe
8669|France
8669|Inspired Cuisine
8669|French Inspired
8669|Stovetop
8669|Braised
8669|Recipe Types
8669|Other Preparation Methods
8669|Stuffed
8669|Cooking with Wine
8669|Poultry
8669|Poultry Main Dishes
8669|Chicken
8669|Chicken Breasts
8669|Chicken - Main Dishes Only [Ad Channel]
8669|Low Carbohydrate
8669|Top 200 Recipes (Not Sponsorable)
8669|DMP Segments
8669|ReynoldsFoil
8669|Sales and Marketing Partners
8669|Home Depot
8669|Menus
8669|Top Recipes
8669|Hall of Fame
8669|Kraft
8669|Kraft Homestyle Family Favorites
8669|Licensing
8669|Safeway
8669|Videos (Not Web Shows)
8669|Video Cookbook
8669|Gourmet
8669|Messy Recipe
8669|Cheese
8669|Swiss Cheese
8669|Main Dishes
8669|Experienced
8669|Back to School (Tyson)
8669|World Cuisine
8669|European
8669|French
65896|Recipe Types
65896|Dinner
65896|Test Term : Main Dish
65896|Main Dishes
65896|Recipe Types
65896|Main Dishes
65896|Appliances
65896|Slow Cooker
65896|Poultry
65896|Chicken
65896|Chicken - Main Dishes Only [Ad Channel]
65896|Chicken Breasts
65896|Sales and Marketing Partners
65896|Dinner Spinner
65896|Menus
65896|Licensing
65896|Top 200 Recipes (Not Sponsorable)
65896|DMP Segments
65896|ReynoldsSlowCooker
65896|Kraft
65896|Top Recipes
65896|Kraft Homestyle Family Favorites
65896|Safeway
65896|Videos (Not Web Shows)
65896|Video Cookbook
65896|Messy Recipe
65896|Poultry Main Dishes
65896|Experienced
65896|90 Plus Minutes
65896|Back to School (Tyson)
65896|Meat and Poultry
65896|Chicken
65896|Chicken Breasts
16348|Dinner
16348|Oven
16348|Baked
16348|Recipe Types
16348|[Yahoo] Main Ingredient
16348|[Yahoo] Pork
16348|[Yahoo] Course/Meal
16348|[Yahoo] Dinner
16348|[Yahoo] Provider
16348|[Yahoo] All Recipes
16348|[Yahoo] Taste & Texture
16348|[Yahoo] Rich
16348|[Yahoo] Salty
16348|[Yahoo] Savory
16348|[Yahoo] Meaty
16348|[Yahoo] Cooking Method
16348|[Yahoo] Baking
16348|Other Preparation Methods
16348|Battered or Breaded
16348|Cooking with Wine
16348|Meat
16348|Pork
16348|Pork Chops
16348|Pork - Main Dishes Only [Ad Channel]
16348|Main Dishes
16348|Meat Main Dishes
16348|Chops
16348|DMP Segments
16348|ReynoldsFoil
16348|HVR Shaker Recipes
16348|Menus
16348|Top Recipes
16348|Hall of Fame
16348|Sales and Marketing Partners
16348|Filippo Berio
16348|Kraft
16348|Kraft Homestyle Family Favorites
16348|Licensing
16348|Safeway
16348|Videos (Not Web Shows)
16348|Video Cookbook
16348|Canned Goods
16348|One Can
16348|Experienced
16348|90 Plus Minutes
16348|Main Dish
16348|Pork
16348|Pork Chops
16348|Baked
8887|Recipe Types
8887|Dinner
8887|Test Term : Main Dish
8887|Geographic
8887|Inspired Cuisine
8887|Europe
8887|Southern Europe
8887|Italy
8887|Italian Inspired
8887|Main Dishes
8887|Stovetop
8887|Braised
8887|Beginner
8887|30 Minutes to 1 Hour
8887|Mushrooms
8887|Poultry
8887|Chicken
8887|Other Preparation Methods
8887|Cooking with Wine
8887|Poultry
8887|Chicken
8887|Chicken Breasts
8887|Chicken - Main Dishes Only [Ad Channel]
8887|Sales and Marketing Partners
8887|AR Photo
8887|Menus
8887|Licensing
8887|Top 200 Recipes (Not Sponsorable)
8887|ReynoldsFoil
8887|Kraft
8887|Filippo Berio
8887|Top Recipes
8887|Kraft Homestyle Family Favorites
8887|Safeway
